subid,subage,trial,agent,discourseNovel,mutExNovel,pick,novelObject,correct,age_num,age,alignment,item
190516_7_com,2,5,Monkey,right,left,t02,t02,1,2.9340182648401827,0.8986301369863012,incongruent,plug
190516_7_com,2,6,Pig,left,left,papaya,t01,0,2.9340182648401827,0.8986301369863012,congruent,papaya
190516_7_com,2,7,Elephant,left,right,garlic,t15,0,2.9340182648401827,0.8986301369863012,incongruent,garlic
190516_7_com,2,8,Cat,right,right,t04,t04,1,2.9340182648401827,0.8986301369863012,congruent,bread
190516_7_com,2,9,Dog,left,left,carrot,t13,0,2.9340182648401827,0.8986301369863012,congruent,carrot
190516_7_com,2,10,Frog,right,left,t12,t12,1,2.9340182648401827,0.8986301369863012,incongruent,duck
190516_7_com,2,11,Sheep,left,right,eggplant,t08,0,2.9340182648401827,0.8986301369863012,incongruent,eggplant
190516_7_com,2,12,Beaver,right,right,t03,t03,1,2.9340182648401827,0.8986301369863012,congruent,apple
190516_8_com,3,1,Sheep,left,left,t07,t07,1,3.3504566210045663,1.3150684931506849,congruent,pawn
190516_8_com,3,2,Bunny,right,left,horseshoe,t03,0,3.3504566210045663,1.3150684931506849,incongruent,horseshoe
190516_8_com,3,3,Dog,right,right,t20,t20,1,3.3504566210045663,1.3150684931506849,congruent,papaya
190516_8_com,3,4,Frog,left,left,apple,t08,0,3.3504566210045663,1.3150684931506849,congruent,apple
190516_8_com,3,5,Beaver,left,right,t01,t01,1,3.3504566210045663,1.3150684931506849,incongruent,barrel
190516_8_com,3,6,Pig,right,left,t13,t13,1,3.3504566210045663,1.3150684931506849,incongruent,duck
190516_8_com,3,7,Mouse,left,right,t02,t02,1,3.3504566210045663,1.3150684931506849,incongruent,plug
190516_8_com,3,8,Tiger,left,left,garlic,t15,0,3.3504566210045663,1.3150684931506849,congruent,garlic
190516_8_com,3,9,Elephant,right,right,eggplant,t04,0,3.3504566210045663,1.3150684931506849,congruent,eggplant
190516_8_com,3,10,Cat,right,right,bread,t14,0,3.3504566210045663,1.3150684931506849,congruent,bread
190516_8_com,3,11,Bear,right,left,kite,t11,0,3.3504566210045663,1.3150684931506849,incongruent,kite
190516_8_com,3,12,Monkey,left,right,t19,t19,1,3.3504566210045663,1.3150684931506849,incongruent,carrot
190516_9_com,4,1,Dog,left,left,t13,t13,1,4.3148401826484015,2.27945205479452,congruent,papaya
190516_9_com,4,2,Tiger,left,left,t20,t20,1,4.3148401826484015,2.27945205479452,congruent,bread
190516_9_com,4,3,Monkey,right,right,t12,t12,1,4.3148401826484015,2.27945205479452,congruent,eggplant
190516_9_com,4,4,Bear,right,left,t21,t21,1,4.3148401826484015,2.27945205479452,incongruent,garlic
190516_9_com,4,5,Elephant,right,left,t04,t04,1,4.3148401826484015,2.27945205479452,incongruent,horseshoe
190516_9_com,4,6,Beaver,left,right,plug,t19,0,4.3148401826484015,2.27945205479452,incongruent,plug
190530_1_com,2,1,Mouse,right,left,kite,t02,0,2.8299086757990866,0.7945205479452051,incongruent,kite
190530_1_com,2,2,Beaver,left,right,t11,t11,1,2.8299086757990866,0.7945205479452051,incongruent,eggplant
190530_1_com,2,3,Bunny,right,right,t20,t20,1,2.8299086757990866,0.7945205479452051,congruent,plug
190530_1_com,2,4,Tiger,left,left,apple,t15,0,2.8299086757990866,0.7945205479452051,congruent,apple
190530_1_com,2,5,Dog,right,left,t08,t08,1,2.8299086757990866,0.7945205479452051,incongruent,pawn
190530_1_com,2,6,Bear,left,left,t04,t04,1,2.8299086757990866,0.7945205479452051,congruent,carrot
190530_2_com,3,1,Pig,right,right,t16,t16,1,3.8655251141552514,1.83013698630137,congruent,pawn
190530_2_com,3,2,Frog,right,left,barrel,t07,0,3.8655251141552514,1.83013698630137,incongruent,barrel
190530_2_com,3,3,Tiger,left,right,duck,t02,0,3.8655251141552514,1.83013698630137,incongruent,duck
190530_2_com,3,4,Monkey,left,left,t15,t15,1,3.8655251141552514,1.83013698630137,congruent,eggplant
190530_2_com,3,5,Beaver,right,left,t21,t21,1,3.8655251141552514,1.83013698630137,incongruent,bread
190530_2_com,3,6,Sheep,left,left,t04,t04,1,3.8655251141552514,1.83013698630137,congruent,carrot
190530_3_com,2,1,Elephant,left,left,t03,t03,1,2.4710045662100457,0.43561643835616426,congruent,eggplant
190530_3_com,2,2,Cat,left,left,t02,t02,1,2.4710045662100457,0.43561643835616426,congruent,carrot
190530_3_com,2,3,Mouse,right,left,apple,t20,0,2.4710045662100457,0.43561643835616426,incongruent,apple
190530_3_com,2,4,Bunny,left,right,barrel,t01,0,2.4710045662100457,0.43561643835616426,incongruent,barrel
190530_3_com,2,5,Monkey,right,left,kite,t12,0,2.4710045662100457,0.43561643835616426,incongruent,kite
190530_3_com,2,6,Frog,right,right,t07,t07,1,2.4710045662100457,0.43561643835616426,congruent,papaya
190530_4_com,2,1,Monkey,left,left,plug,t03,0,2.4874429223744294,0.452054794520548,congruent,plug
