subid,subage,trial,agent,novel,pick,position_novel,correct,age_num,age_num_month,age_month,item,age
190307_3_me,4,1,Dog,t20,t20,left,1,4.597260273972603,4.583333333333333,2.583333333333333,papaya,2.567123287671233
190307_3_me,4,2,Tiger,t19,t19,right,1,4.597260273972603,4.583333333333333,2.583333333333333,garlic,2.567123287671233
190307_3_me,4,3,Cat,t17,t17,right,1,4.597260273972603,4.583333333333333,2.583333333333333,carrot,2.567123287671233
190307_3_me,4,4,Bunny,t14,t14,right,1,4.597260273972603,4.583333333333333,2.583333333333333,kite,2.567123287671233
190307_3_me,4,5,Elephant,t07,barrel,left,0,4.597260273972603,4.583333333333333,2.583333333333333,barrel,2.567123287671233
190307_3_me,4,6,Monkey,t09,t09,right,1,4.597260273972603,4.583333333333333,2.583333333333333,bread,2.567123287671233
190307_3_me,4,7,Frog,t12,t12,left,1,4.597260273972603,4.583333333333333,2.583333333333333,duck,2.567123287671233
190307_3_me,4,8,Mouse,t11,horseshoe,left,0,4.597260273972603,4.583333333333333,2.583333333333333,horseshoe,2.567123287671233
190307_3_me,4,9,Sheep,t03,t03,right,1,4.597260273972603,4.583333333333333,2.583333333333333,pawn,2.567123287671233
190307_3_me,4,10,Bear,t16,t16,left,1,4.597260273972603,4.583333333333333,2.583333333333333,apple,2.567123287671233
190307_3_me,4,11,Pig,t01,t01,right,1,4.597260273972603,4.583333333333333,2.583333333333333,plug,2.567123287671233
190307_3_me,4,12,Beaver,t15,t15,left,1,4.597260273972603,4.583333333333333,2.583333333333333,eggplant,2.567123287671233
190307_4_me,4,1,Mouse,t07,t07,right,1,4.898630136986301,4.916666666666667,2.916666666666667,eggplant,2.868493150684931
190307_4_me,4,2,Frog,t14,t14,right,1,4.898630136986301,4.916666666666667,2.916666666666667,carrot,2.868493150684931
190307_4_me,4,3,Bear,t03,t03,left,1,4.898630136986301,4.916666666666667,2.916666666666667,kite,2.868493150684931
190307_4_me,4,4,Dog,t19,t19,left,1,4.898630136986301,4.916666666666667,2.916666666666667,apple,2.868493150684931
190307_4_me,4,5,Elephant,t01,t01,right,1,4.898630136986301,4.916666666666667,2.916666666666667,garlic,2.868493150684931
190307_4_me,4,6,Monkey,t15,t15,right,1,4.898630136986301,4.916666666666667,2.916666666666667,barrel,2.868493150684931
